日期,商品(契約),商品名稱(契約名稱),到期月份(週別),交易人類別,前五大交易人買方,前五大交易人賣方,前十大交易人買方,前十大交易人賣方,全市場未沖銷部位數
2026/07/29,GTF    ,櫃買期貨,202608  ,0,0,0,0,0,0
2026/07/29,GTF    ,櫃買期貨,202608  ,1,0,0,0,0,0
2026/07/29,GTF    ,櫃買期貨,999999  ,0,0,0,0,0,0
2026/07/29,GTF    ,櫃買期貨,999999  ,1,0,0,0,0,0
2026/07/29,GU     ,全新期貨,202608  ,0,988,1192,1116,1393,1605
2026/07/29,GU     ,全新期貨,202608  ,1,493,1192,536,1356,1605
2026/07/29,GU     ,全新期貨,999999  ,0,993,1219,1121,1427,1663
2026/07/29,GU     ,全新期貨,999999  ,1,498,1219,541,1390,1663
2026/07/29,GV     ,飛宏期貨,202608  ,0,121,176,150,188,190
2026/07/29,GV     ,飛宏期貨,202608  ,1,72,176,89,179,190
2026/07/29,GV     ,飛宏期貨,999999  ,0,121,181,150,193,195
2026/07/29,GV     ,飛宏期貨,999999  ,1,72,181,89,184,195
2026/07/29,GW     ,義隆期貨,202608  ,0,150,332,205,344,353
2026/07/29,GW     ,義隆期貨,202608  ,1,115,272,158,277,353
2026/07/29,GW     ,義隆期貨,999999  ,0,150,337,209,349,360
2026/07/29,GW     ,義隆期貨,999999  ,1,115,277,162,282,360
2026/07/29,GX     ,可成期貨,202608  ,0,590,2560,845,2593,2599
